Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA_50,EMA_50,SMA_20,UpperBand,LowerBand,Tomorrow,Target,TargetClass
1989-03-23,0.2677080035209656,0.2677080035209656,0.2677080035209656,0.2677080035209656,-130834.3046875,0,26.865129209700026,-106538.77671875,-107649.57867347503,-120536.533203125,-106944.33807691777,-134128.72832933223,-130834.3046875,0.0,0
1989-03-24,0.2677080035209656,0.2677080035209656,0.2677080035209656,0.2677080035209656,-130834.3046875,0,30.507904565376812,-107563.71125,-108558.78361520151,-121584.7640625,-108224.66131111098,-134944.86681388904,-130834.3046875,0.0,0
1989-03-27,0.2677080035209656,0.2677080035209656,0.2677080035209656,0.2677080035209656,-130834.3046875,0,26.785143170088553,-108580.8846875,-109432.333461174,-122768.860546875,-110654.86603602392,-134882.8550577261,-132775.515625,-1941.2109375,0
1989-03-28,0.27167999744415283,0.27167999744415283,0.27167999744415283,0.27167999744415283,-132775.515625,0,20.689125160989477,-109660.17453125,-110347.75236955934,-124030.61328125,-113433.23832100515,-134627.98824149487,-133940.109375,-1164.59375,0
1989-03-29,0.27406299114227295,0.27406299114227295,0.27406299114227295,0.27406299114227295,-133940.109375,0,15.516884847181117,-110723.93265625,-111272.94284036093,-125107.9484375,-115128.95792011118,-135086.9389548888,-131610.859375,2329.25,1
1989-03-30,0.2692970037460327,0.2692970037460327,0.2692970037460327,0.2692970037460327,-131610.859375,0,25.423216032547526,-111546.9859375,-112070.5081946605,-125787.366796875,-115990.93167680333,-135583.80191694666,-133552.0625,-1941.203125,0
1989-03-31,0.27326899766921997,0.27326899766921997,0.27326899766921997,0.27326899766921997,-133552.0625,0,26.785141242714527,-112408.86328125,-112912.92208898754,-126525.01328125,-116722.4270653904,-136327.5994971096,-133552.0625,0.0,0
1989-04-03,0.27326899766921997,0.27326899766921997,0.27326899766921997,0.27326899766921997,-133552.0625,0,25.454403756631237,-113317.32546875,-113722.30014432136,-127107.369140625,-117079.17274283728,-137135.56553841272,-132193.453125,1358.609375,1
1989-04-04,0.27048900723457336,0.27048900723457336,0.27048900723457336,0.27048900723457336,-132193.453125,0,35.3525855241868,-114144.26953125,-114446.65908474012,-127680.02734375,-117877.21112715511,-137482.8435603449,-130834.3046875,1359.1484375,1
1989-04-05,0.2677080035209656,0.2677080035209656,0.2677080035209656,0.2677080035209656,-130834.3046875,0,37.863608389422375,-114839.19953125,-115089.31185347581,-128242.959765625,-119130.9895708847,-137354.9299603653,-125787.296875,5047.0078125,1
